Age,Income,Credit_History_Years,Debt_to_Income_Ratio,Employment_Years,Education_Level,Marital_Status,Number_of_Dependents,Outstanding_Debt,Home_Ownership,Number_of_Credit_Cards,Monthly_Expenses,Employment_Status,Previous_Defaults,Credit_Limit,Loan_Amount,Loan_Term_Months,Credit_Score
56,53545,15.813717653330926,0.3103958602845186,2,3,0,0,36541,2,1,6805,2,0,16146,31738,119,669
69,74079,13.968957646774111,0.6077619830184068,4,1,0,1,47058,2,1,5521,2,2,8035,45738,67,736
46,46855,29.990089293691014,0.36601435286967976,21,4,1,3,13947,1,8,6328,1,2,21447,33613,69,430
32,55790,11.662939563507301,0.19462114064781788,15,4,0,3,21996,0,5,5382,3,0,8794,10441,33,438
60,71012,11.609971777629266,0.6750708477580316,8,3,1,2,38763,2,1,4981,3,2,18343,18888,13,747
25,137827,15.107453322433809,0.3063470930185802,8,4,1,3,34522,1,4,7156,0,1,17524,14329,15,800
38,132121,5.709093308136895,0.8890247798660361,11,1,1,3,22524,1,6,1348,0,1,8632,44419,44,794
56,149051,26.289132688774735,0.19933245971421365,3,3,0,0,46456,0,0,1992,3,0,15198,42767,89,593
36,34260,17.168033665933457,0.600144038432514,17,1,0,2,47759,2,7,5052,2,1,35091,27635,88,587
40,85139,5.763229175982673,0.5715487748492533,17,1,0,3,45371,0,5,6566,2,1,42830,5417,86,514
28,21074,23.80324774116397,0.19774180080115156,32,1,1,1,9824,2,0,2800,0,1,19057,39841,70,564
28,62676,1.0299651342855975,0.43988683886453983,2,1,0,3,49075,2,7,8506,1,0,9934,9413,12,426
41,29475,29.476926017562818,0.6755387715427943,37,4,0,2,39957,1,4,7466,3,0,25970,25625,96,588
53,98414,25.95448004314114,0.3185272044899742,16,3,1,1,37964,2,6,7687,2,2,10901,8378,108,332
57,35120,17.389183666020596,0.11383065740746501,11,4,0,1,42438,1,9,9704,2,2,8345,31872,94,747
41,43147,3.3388698827119945,0.6152407149578807,10,2,0,1,47480,2,3,7501,2,0,9004,42862,57,515
20,21986,6.458183198690143,0.2241219022605161,16,1,1,0,1573,0,1,2132,3,2,17692,46066,54,783
39,129129,8.383055109406893,0.6814749796695877,34,1,0,0,1600,2,7,5511,1,1,40683,40813,13,362
19,52430,7.230952137108329,0.8394670965841674,5,2,0,1,47794,1,3,3638,3,0,6296,47855,58,606
41,127497,14.925600313603372,0.12335537144979558,34,2,0,0,9045,1,7,7391,0,2,7125,31495,68,770
61,75479,28.336811108014434,0.4376091022213009,5,1,0,1,13694,1,8,9196,1,2,6074,16784,65,728
47,102966,13.325177543034316,0.44492226934880275,31,4,0,1,16142,1,3,1806,3,0,35463,11950,113,637
55,22176,19.846937045202164,0.6325359186542941,10,4,1,4,2382,1,7,4684,0,0,37524,46897,32,794
19,104258,20.657496179364696,0.334407928797568,38,1,0,0,2334,1,3,6761,0,2,19087,26563,27,588
38,128351,26.147421757634483,0.41856915558878016,12,3,0,4,19355,0,7,3068,1,0,44995,41978,72,649
50,135188,1.0146386271455776,0.011991244028255243,12,2,0,1,39337,2,0,4958,1,0,11065,20255,46,599
29,104153,12.129901780426266,0.1224259111832593,38,4,0,1,15000,0,1,6938,0,2,34991,47328,69,842
39,81918,23.542053422582978,0.5698620995550041,33,3,0,4,800,0,9,2186,3,0,44661,47585,82,531
61,148570,24.446010448963385,0.21589580029502808,2,1,0,2,30304,0,2,5644,3,0,5992,35204,52,427
42,47115,27.819978455220337,0.14457688979637506,31,1,1,1,35163,2,1,1657,1,0,46985,36641,51,680
66,122912,21.08383079454007,0.3244127679641632,3,4,1,0,29492,0,9,9777,1,2,43288,9642,64,332
44,97442,7.354618383142305,0.16353569493312348,39,4,1,3,22671,1,7,3358,1,2,11556,41717,15,792
59,60002,15.169972292531344,0.05962243647810295,0,1,0,3,16804,2,9,1043,1,2,16769,13875,47,638
45,77124,0.9703586375669271,0.28385824914417535,8,4,0,3,39146,0,8,6946,2,0,44188,5535,26,845
33,26610,19.407850232947403,0.1643584413655511,6,4,0,4,33418,0,8,2273,1,2,17543,38720,103,712
32,128828,16.6288563452627,0.7993957423348363,26,4,1,1,22804,2,0,9656,0,2,33810,32816,106,329
64,69752,20.005088422838792,0.06265696693066314,2,1,1,2,6545,2,8,4996,1,0,17895,22963,95,796
68,148416,27.904216601627866,0.7474432367666921,21,2,1,0,47757,1,7,6620,3,2,32089,40813,102,304
61,98947,20.618298351612946,0.3827963474832018,15,3,1,3,19092,1,7,5984,2,2,47655,30330,95,335
69,138972,9.613497911242836,0.675321309349395,7,2,1,3,26009,2,2,4209,0,1,25142,41741,86,732
20,94716,5.962099916104703,0.052689436333389184,4,1,0,0,2535,1,7,8118,2,2,48062,46127,101,750
54,67993,25.639086204559646,0.9207039947895709,29,3,1,3,32664,1,1,4034,0,0,15338,26094,76,457
68,30073,5.8299642982128175,0.7673756972516094,27,1,1,4,35874,0,1,5421,3,2,6267,35545,39,796
24,57251,4.8482874178609165,0.14014307187422614,26,2,1,1,37950,1,3,8409,2,2,5822,35051,31,628
38,116496,6.198362420429274,0.21878437102736037,21,1,1,1,18804,0,6,8243,2,1,6520,30612,111,458
